2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-48\LongestConsecutiveSequence.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-42\SubstringsOfSizeThree.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-44\IsomorphicStrings.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-43\MaxAscendingSum.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-64\MinimumOperationsUniValueGrid.java
2026.04.29 19:40:14 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:40:16 WARN  Running javac-semanticdb failed for file:///C:/Users/elang/OneDrive/Desktop/DSA_LeetCode/Day-65/LongestHarmoniousSubsequence.java. Output:

2026.04.29 19:40:16 INFO  time: code lens generation in 4.58s
2026.04.29 19:40:16 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:40:26 INFO  restarted 1 presentation compiler
2026.04.29 19:40:42 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:04 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:08 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:08 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:09 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:10 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:16 WARN  Running javac-semanticdb failed for file:///C:/Users/elang/OneDrive/Desktop/DSA_LeetCode/Day-65/LongestHarmoniousSubsequence.java. Output:

2026.04.29 19:41:19 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:19 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:21 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:41:21 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-39\NumberOfSubarrays.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-40\ClimbingStairs.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-48\LongestConsecutiveSequence.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-49\ValidParentheses.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-51\ValidAnagram.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-53\MinimumDistanceToTargetElement.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-04\RemoveDuplicatesII.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-02\RemoveElement.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-60\FurthestPointFromOrigin.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-41\FirstOccurrenceInString.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-46\RobotReturnToOrigin.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-05\MajorityElement.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-20\PowerOfTwo.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-21\AddDigits.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-35\IntersectionOfTwoArrays.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-36\ContainerWithMostWater.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-37\SortColors.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-03\RemoveDuplicates.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-01\MergeSortedArray.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-09\JumpGame.java. Using fallback presentation compiler.
